state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
IA,All,IAAll,9,0.99,0.99,1,1,0.99,0.99
WY,All,WYAll,9,0.99,0.99,1,1,0.99,0.99
MT,All,MTAll,7,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,4,0.97,0.97,1,1,0.97,0.97
NY,All,NYAll,2,0.94,0.94,1,1,0.94,0.94
ND,All,NDAll,5,0.97,0.97,1,1,0.97,0.97
MA,All,MAAll,6,0.97,0.97,1,1,0.97,0.97
MO,All,MOAll,3,0.94,0.94,1,1,0.94,0.94
AK,All,AKAll,10,1,1,1,1,1,1
OH,All,OHAll,7,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,Ungraded,1,1,1,1,1,1
NC,All,NCAll,3,0.94,0.94,1,1,0.94,0.94
MT,All,MTAll,1,0.94,0.94,1,1,0.94,0.94
KS,All,KSAll,Ungraded,1,1,1,1,1,1
NE,All,NEAll,9,0.99,0.99,1,1,0.99,0.99
TN,All,TNAll,4,0.97,0.97,1,1,0.97,0.97
NJ,All,NJAll,3,0.94,0.94,1,1,0.94,0.94
WV,All,WVAll,9,0.99,0.99,1,1,0.99,0.99
MI,All,MIAll,4,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,5,0.97,0.97,1,1,0.97,0.97
DC,All,DCAll,8,0.99,0.99,1,1,0.99,0.99
SD,All,SDAll,2,0.94,0.94,1,1,0.94,0.94
AZ,All,AZAll,10,1,1,1,1,1,1
LA,All,LAAll,3,0.94,0.94,1,1,0.94,0.94
GA,All,GAAll,Ungraded,1,1,1,1,1,1
NH,All,NHAll,2,0.94,0.94,1,1,0.94,0.94
HI,All,HIAll,8,0.99,0.99,1,1,0.99,0.99
NH,All,NHAll,3,0.94,0.94,1,1,0.94,0.94
OK,All,OKAll,8,0.99,0.99,1,1,0.99,0.99
IN,All,INAll,6,0.97,0.97,1,1,0.97,0.97
PA,All,PAAll,2,0.94,0.94,1,1,0.94,0.94
WI,All,WIAll,7,0.97,0.97,1,1,0.97,0.97
WY,All,WYAll,2,0.94,0.94,1,1,0.94,0.94
ID,All,IDAll,Ungraded,1,1,1,1,1,1
MO,All,MOAll,4,0.97,0.97,1,1,0.97,0.97
CO,All,COAll,6,0.97,0.97,1,1,0.97,0.97
SD,All,SDAll,7,0.97,0.97,1,1,0.97,0.97
VT,All,VTAll,10,1,1,1,1,1,1
VT,All,VTAll,2,0.94,0.94,1,1,0.94,0.94
AK,All,AKAll,4,0.97,0.97,1,1,0.97,0.97
FL,All,FLAll,1,0.94,0.94,1,1,0.94,0.94
