classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
51253,0.102,0.29,–,1/A,s,1000
19007,1.27,0,0,0,s,1000
13411,0.56,0.52,1/A,1/A,t,1
18437,0.77,0.26,–,1/A,s,1000
15608,0.32,0.011,0,0,s,1000
51926,0.084,0.036,0,0,s,1000
51767,0.022,0.005,0,0,s,1000
98597,0.57,0,0,0,p,1000
16751,0.154,0,0,0,s,1000
51982,0.049,0.056,0,0,s,1000
99963,0.7,0,0,0,p,1000
53377,0.101,0.132,0,0,s,1000
10368,5.39,0,0,0,s,1000
40064,76.5,0,0,0,m,1000
97650,3.68,4.17,0,0,p,1000
91341,4.54,4.52,0,0,p,1000
48610,1.0,1.0,0,–,t,1
62000,13.3,0,0,0,a,1000
46607,10.1,0,0,0,a,1000
63012,92.6,0,0,0,t,1
10065,0.39,0.061,0,0,s,1000
10073,1.16,0.52,0,0,s,1000
41422,0.221,0,0,0,t,1
63218,39.3,0,0,0,m,1000
67017,45.1,0,0,0,a,1000
59970,0.101,0.121,0,0,s,1000
95455,5.96,1.92,0,0,p,1000
99570,2.79,4.16,–,2/A,p,1000
96702,4.44,5.71,–,3/A,p,1000
11213,1.77,0,0,0,s,1000
13506,1.36,0.073,0,0,s,1000
44432,0.75,0,0,0,s,1000
98157,3.9,0.37,0,0,p,1000
40111,20.6,0,0,0,t,1
14068,0.058,0.008,0,0,s,1000
97502,1.0,1.0,0,–,t,1
98164,2.06,0.073,0,0,p,1000
58822,0.157,1.0,–,0,s,1000
59722,0.1,0.019,0,0,s,1000
15063,0.25,0.36,–,4/A,s,1000
16890,0.155,0.186,–,4/A,s,1000
45380,0.29,1.0,–,0,s,1000
40140,1.0,1.0,0,–,t,1
58682,0.167,1.0,–,0,s,1000
59955,0.031,0.098,0,0,s,1000
44222,2.9,1.0,2/A,–,s,1000
57572,0.017,0.084,0,0,s,1000
99080,1.21,8.17,0,0,p,1000
63010,52.1,0,0,0,t,1
51960,0.038,0.248,0,0,s,1000
99954,4.32,12.9,0,0,p,1000
10105,3.84,0,0,0,s,1000
10072,4.17,0,0,0,s,1000
58663,0.37,0.46,0,0,s,1000
45901,0.139,0.03,0,0,s,1000
51400,0.216,2.14,–,3/A,s,1000
51957,0.32,0.33,0,0,s,1000
43421,52.6,0,0,0,m,1000
61227,58.4,0,0,0,a,1000
49005,0.162,0,0,0,s,1000
68439,108,0,0,0,a,1000
44112,0.71,0,0,0,o,1000
12797,0.139,0.153,0,0,s,1000
16930,3.08,0.172,0,0,s,1000
53096,0.086,0.39,–,4/A,s,1000
97223,2.43,3.04,0,0,p,1000
40015,1.0,1.0,0,–,t,1
61217,17.7,0,0,0,a,1000
40061,7.78,0,0,0,t,1
59775,0.021,0.133,0,0,s,1000
41664,88,0,0,0,a,1000
99952,5.5,16.5,0,0,p,1000
51809,0.33,0.164,0,0,s,1000
67513,39.7,0,0,0,a,1000
45192,2.31,0,0,0,s,1000
56918,0.071,1.0,–,0,s,1000
53095,0.062,0.39,–,3/A,s,1000
46700,386,0,0,0,a,1000
91722,4.31,1.0,–,0,p,1000
56920,0.164,1.0,–,0,s,1000
91590,3.48,0,0,0,p,1000
56170,0.161,1.0,–,0,s,1000
46112,0.077,0,0,0,s,1000
45210,1.73,0,0,0,s,1000
47147,0.88,1.0,4/A,–,s,1000
61212,17.5,0,0,0,a,1000
57146,0.167,0.59,0,0,s,1000
91588,1.24,0.5,4/A,2/A,c,1000
52402,0.018,0.1,–,2/A,s,1000
98636,3,4,0,0,p,1000
51796,0.075,1.0,–,0,s,1000
10375,1.0,1.0,0,–,s,1000
15991,0.35,0.078,0,0,s,1000
10211,0.59,1.0,–,0,s,1000
11288,2.22,0.096,0,0,s,1000
15060,0.181,0.31,3/A,2/A,s,1000
11203,1.19,0.29,0,0,s,1000
59701,0.008,0.36,0,0,s,1000
57410,0.029,0.112,0,0,s,1000
10026,0.96,0.022,0,0,s,1000
99085,5,6,4/A,4/A,p,1000
51575,0.047,0.02,0,0,s,1000
12707,0.66,0.45,0,0,s,1000
96410,3.13,9.56,0,0,p,1000
59726,0.052,0.02,0,0,s,1000
97222,1.62,1.93,0,0,p,1000
16604,0.233,0.074,0,0,s,1000
43860,2.74,0,0,0,s,1000
40032,27.3,1.0,4/A,–,t,1
91587,2.28,1.59,2/B,2/A,c,1000
53733,0.133,0.155,0,0,s,1000
44110,1.95,0,0,0,o,1000
56760,0.095,0.077,0,0,s,1000
94099,2.52,0,0,0,p,1000
51777,0.076,0.047,0,0,s,1000
46915,1.0,1.0,0,–,m,1000
59904,0.075,0.11,0,0,s,1000
61000,28.7,0,0,0,u,1
63013,87.7,0,0,0,t,1
52342,0.125,1.22,–,3/A,s,1000
51351,0.158,0.039,0,0,s,1000
51851,0.151,2.22,–,3/A,s,1000
50015,0.126,0.82,–,4/A,s,1000
16402,2.1,0,0,0,s,1000
55716,0.28,0.33,0,0,s,1000
94444,1.0,1.0,0,0,p,1000
41650,27.6,0,0,0,a,1000
99969,3.08,2.73,0,0,p,1000
92102,4.67,3.82,0,0,p,1000
94304,3.11,9.92,–,4/A,p,1000
56202,0.068,0.053,0,0,s,1000
99709,3.26,4.08,–,4/A,p,1000
18834,0.44,0.122,0,0,s,1000
91179,3.97,0,0,0,p,1000
49840,0.98,0,0,0,s,1000
91111,3.14,6.43,0,0,p,1000
98424,7.04,4.97,–,2/A,p,1000
16670,10.5,0,0,0,s,1000
51241,1.18,0.197,0,0,s,1000
10381,17.6,0,0,0,s,1000
58302,0.046,0.034,0,0,s,1000
10150,0.73,2.49,–,5/A,s,1000
18435,1.59,0.078,0,0,s,1000
92101,7.76,3.48,0,0,p,1000
51852,0.35,2.22,–,3/A,s,1000
51401,0.32,2.28,–,1/A,s,1000
13715,0.101,0.088,0,0,s,1000
52876,1.0,1.0,0,0,s,1000
