classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0532,Building,Frame,0.1880,0.188,0.188,0.188,0.188,0.188
0581,Contents,Non-Comb.,0.1580,0.158,0.158,0.158,0.158,0.158
0075,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0913,Building,Frame,0.1750,0.175,0.175,0.175,0.175,0.175
0582,Contents,"Mas Non-Comb",0.1250,0.125,0.125,0.125,0.125,0.125
0951,Contents,"Joisted Masonry",0.4010,0.401,0.401,0.401,0.401,0.401
1051,Contents,"Fire Res",0.0880,0.088,0.088,0.088,0.088,0.088
0541,Contents,"Joisted Masonry",0.3380,0.338,0.338,0.338,0.338,0.338
0745,Contents,"Joisted Masonry",0.0920,0.092,0.092,0.092,0.092,0.092
0311,Building,"Joisted Masonry",0.0910,0.091,0.091,0.091,0.091,0.091
0078,Contents,Frame,0.1240,0.124,0.124,0.124,0.124,0.124
0565,Building,"Joisted Masonry",0.1080,0.108,0.108,0.108,0.108,0.108
0323,Contents,"Mas Non-Comb",0.1730,0.173,0.173,0.173,0.173,0.173
1070,Contents,Frame,0.1790,0.179,0.179,0.179,0.179,0.179
4809,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0075,ABC,Frame,0.0000,0,0,0,0,0
0078,ABC,Frame,0.0000,0,0,0,0,0
2200,Building,Non-Comb.,0.3130,0.313,0.313,0.313,0.313,0.313
0198,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0077,ABC,Non-Comb.,0.0000,0,0,0,0,0
0566,Contents,"Mas Non-Comb",0.1560,0.156,0.156,0.156,0.156,0.156
0757,Building,Non-Comb.,0.1210,0.121,0.121,0.121,0.121,0.121
0831,Building,"Joisted Masonry",0.1070,0.107,0.107,0.107,0.107,0.107
0562,Contents,"Mas Non-Comb",0.1590,0.159,0.159,0.159,0.159,0.159
3409,Contents,"Joisted Masonry",0.1480,0.148,0.148,0.148,0.148,0.148
0534,Contents,Frame,0.1930,0.193,0.193,0.193,0.193,0.193
0078,Building,"Fire Res",0.0720,0.072,0.072,0.072,0.072,0.072
0702,Building,Frame,0.0990,0.099,0.099,0.099,0.099,0.099
0951,Building,Frame,0.4040,0.404,0.404,0.404,0.404,0.404
0932,ABC,"Fire Res",0.0000,0,0,0,0,0
1752,ABC,Non-Comb.,0.0000,0,0,0,0,0
0844,Building,Frame,0.1410,0.141,0.141,0.141,0.141,0.141
0843,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
2350,Contents,"Fire Res",0.2090,0.209,0.209,0.209,0.209,0.209
0541,ABC,Frame,0.0000,0,0,0,0,0
0333,Contents,Frame,0.0500,0.05,0.05,0.05,0.05,0.05
0911,Building,Frame,0.1990,0.199,0.199,0.199,0.199,0.199
0843,Building,"Fire Res",0.0620,0.062,0.062,0.062,0.062,0.062
0743,Contents,Frame,0.2390,0.239,0.239,0.239,0.239,0.239
